Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2013-12-25 00:00:00,72.2,68.4,30.14,NE,40,18.0,18.0,88,0.04,,,0.02,0,Wunderground v.1.15,2013-12-25 06:00:00
2013-12-25 00:10:00,71.3,67.9,30.13,NE,46,20.0,20.0,89,0.00,,,0.01,0,Wunderground v.1.15,2013-12-25 06:10:00
2013-12-25 00:15:00,71.2,68.1,30.13,NE,49,20.0,20.0,90,0.00,,,0.01,0,Wunderground v.1.15,2013-12-25 06:15:00
2013-12-25 00:25:00,71.1,68.3,30.13,NE,55,18.0,22.0,91,0.04,,,0.02,0,Wunderground v.1.15,2013-12-25 06:25:00
2013-12-25 00:35:00,70.9,68.5,30.14,East,81,16.0,18.0,92,0.04,,,0.02,0,Wunderground v.1.15,2013-12-25 06:35:00
2013-12-25 00:40:00,70.9,68.5,30.13,ENE,65,14.0,15.0,92,0.05,,,0.02,0,Wunderground v.1.15,2013-12-25 06:40:00
2013-12-25 00:45:00,70.8,68.4,30.13,East,88,14.0,15.0,92,0.05,,,0.02,0,Wunderground v.1.15,2013-12-25 06:45:00
2013-12-25 00:55:00,70.8,68.4,30.13,East,82,11.0,13.0,92,0.00,,,0.02,0,Wunderground v.1.15,2013-12-25 06:55:00
2013-12-25 01:05:00,70.4,68.3,30.13,East,79,12.0,13.0,93,0.00,,,0.03,0,Wunderground v.1.15,2013-12-25 07:05:00
2013-12-25 01:10:00,70.0,67.9,30.12,East,96,12.0,12.0,93,0.06,,,0.04,0,Wunderground v.1.15,2013-12-25 07:10:00
2013-12-25 01:20:00,70.2,68.4,30.12,NE,53,12.0,12.0,94,0.07,,,0.05,0,Wunderground v.1.15,2013-12-25 07:20:00
2013-12-25 01:25:00,70.6,69.1,30.12,NE,56,12.0,18.0,95,0.06,,,0.05,0,Wunderground v.1.15,2013-12-25 07:25:00
2013-12-25 01:35:00,71.4,68.3,30.11,NE,56,15.0,16.0,90,0.05,,,0.06,0,Wunderground v.1.15,2013-12-25 07:35:00
2013-12-25 01:40:00,71.5,68.1,30.11,NE,44,15.0,16.0,89,0.05,,,0.06,0,Wunderground v.1.15,2013-12-25 07:40:00
2013-12-25 01:45:00,71.6,68.2,30.11,NE,53,15.0,16.0,89,0.00,,,0.06,0,Wunderground v.1.15,2013-12-25 07:45:00
2013-12-25 01:55:00,71.4,67.7,30.11,NE,54,15.0,17.0,88,0.00,,,0.06,0,Wunderground v.1.15,2013-12-25 07:55:00
2013-12-25 02:00:00,71.4,68.0,30.10,ENE,61,14.0,14.0,89,0.00,,,0.06,0,Wunderground v.1.15,2013-12-25 08:00:00
2013-12-25 02:10:00,71.6,68.2,30.10,NE,40,11.0,12.0,89,0.00,,,0.06,0,Wunderground v.1.15,2013-12-25 08:10:00
2013-12-25 02:15:00,71.8,68.4,30.10,ESE,104,10.0,12.0,89,0.00,,,0.06,0,Wunderground v.1.15,2013-12-25 08:15:00
2013-12-25 02:20:00,71.1,68.3,30.10,ESE,104,9.0,9.0,91,0.00,,,0.06,0,Wunderground v.1.15,2013-12-25 08:20:00
2013-12-25 02:30:00,70.4,68.3,30.09,ESE,119,4.0,4.0,93,0.10,,,0.08,0,Wunderground v.1.15,2013-12-25 08:30:00
2013-12-25 02:40:00,70.0,68.2,30.10,ESE,119,3.0,3.0,94,0.07,,,0.09,0,Wunderground v.1.15,2013-12-25 08:40:00
2013-12-25 02:45:00,69.9,68.1,30.10,ESE,119,3.0,3.0,94,0.07,,,0.09,0,Wunderground v.1.15,2013-12-25 08:45:00
2013-12-25 02:50:00,69.8,68.3,30.10,ESE,119,3.0,3.0,95,0.08,,,0.09,0,Wunderground v.1.15,2013-12-25 08:50:00
2013-12-25 03:00:00,69.7,68.2,30.09,ESE,119,2.0,2.0,95,0.07,,,0.10,0,Wunderground v.1.15,2013-12-25 09:00:00
2013-12-25 03:05:00,69.6,68.1,30.09,ESE,119,1.0,2.0,95,0.06,,,0.11,0,Wunderground v.1.15,2013-12-25 09:05:00
2013-12-25 03:10:00,69.5,68.0,30.09,ESE,119,1.0,1.0,95,0.06,,,0.11,0,Wunderground v.1.15,2013-12-25 09:10:00
2013-12-25 03:15:00,69.5,68.0,30.09,ESE,119,1.0,3.0,95,0.06,,,0.11,0,Wunderground v.1.15,2013-12-25 09:15:00
2013-12-25 03:20:00,69.5,68.3,30.09,ESE,119,2.0,2.0,96,0.04,,,0.11,0,Wunderground v.1.15,2013-12-25 09:20:00
