Date,Total15,Total20,Total25,pseudoWindSpeedMPH
2009-01-01,49,0,0,15
2009-01-02,56,0,0,15
2009-01-03,0,0,0,0
2009-01-04,49,0,0,15
2009-01-06,0,0,0,0
2009-01-07,0,0,0,0
2009-01-08,53,0,0,15
2009-01-09,62,0,0,15
2009-01-10,44,0,0,15
2009-01-11,0,0,0,0
2009-01-12,37,0,0,15
2009-01-16,132,132,0,20
2009-01-17,107,27,0,20
2009-01-18,0,0,0,0
2009-01-19,46,0,0,15
2009-01-20,73,0,0,15
2009-01-21,0,0,0,0
2009-01-22,25,0,0,15
2009-01-23,83,0,0,15
2009-01-24,28,0,0,15
2009-01-25,45,0,0,15
2009-01-26,70,0,0,15
2009-01-27,0,0,0,0
2009-01-28,0,0,0,0
2009-01-29,0,0,0,0
2009-01-30,47,43,27,25
2009-01-31,134,119,0,20
2009-02-01,62,42,0,20
2009-02-02,0,0,0,0
2009-02-03,125,0,0,15
2009-02-04,95,0,0,15
2009-02-05,135,0,0,15
2009-02-11,34,0,0,15
2009-02-12,42,0,0,15
2009-02-13,28,0,0,15
2009-02-14,48,0,0,15
2009-02-15,50,0,0,15
2009-02-16,64,0,0,15
2009-02-17,104,32,0,20
2009-02-18,0,0,0,0
2009-02-19,67,0,0,15
2009-02-20,139,104,0,20
2009-02-21,85,62,0,20
2009-02-22,67,0,0,15
2009-02-23,87,56,0,20
2009-02-24,76,0,0,15
2009-02-25,90,0,0,15
2009-02-26,87,69,0,20
2009-03-03,39,0,0,15
2009-03-04,94,39,0,20
2009-03-05,95,45,0,20
2009-03-06,95,62,0,20
2009-03-07,81,76,39,25
2009-03-08,81,63,0,20
2009-03-09,80,58,0,20
2009-03-10,78,0,0,15
2009-03-11,87,66,0,20
2009-03-12,69,0,0,15
2009-03-13,66,0,0,15
2009-03-14,33,0,0,15
2009-03-15,57,0,0,15
2009-03-16,71,57,0,20
2009-03-17,77,0,0,15
2009-03-18,61,0,0,15
2009-03-19,53,0,0,15
2009-03-20,77,59,0,20
2009-03-21,119,78,0,20
2009-03-22,146,72,0,20
2009-03-23,96,63,0,20
2009-03-24,86,32,0,20
2009-03-25,37,0,0,15
2009-03-26,64,0,0,15
2009-03-27,78,36,0,20
2009-03-28,39,0,0,15
2009-03-29,110,0,0,15
2009-03-30,79,0,0,15
2009-03-31,74,38,0,20
2009-04-01,34,0,0,15
2009-04-02,95,0,0,15
2009-04-03,85,0,0,15
2009-04-04,25,0,0,15
2009-04-05,61,0,0,15
2009-04-06,93,56,39,25
2009-04-07,149,46,0,20
2009-04-08,72,0,0,15
2009-04-09,59,51,0,20
2009-04-10,29,0,0,15
2009-04-11,46,0,0,15
2009-04-12,130,32,0,20
2009-04-21,0,0,0,0
2009-04-22,81,53,0,20
2009-04-23,95,72,0,20
2009-05-16,97,59,0,20
2009-05-17,99,40,0,20
2009-05-18,74,0,0,15
2009-05-19,99,0,0,15
2009-05-20,0,0,0,0
2009-05-22,24,0,0,15
2009-05-23,65,0,0,15
2009-05-24,70,48,0,20
2009-05-25,36,0,0,15
2009-05-26,68,0,0,15
2009-05-27,101,0,0,15
2009-06-07,74,48,0,20
2009-06-08,75,63,39,25
2009-06-09,103,80,31,25
2009-06-10,97,73,0,20
2009-06-11,101,68,0,20
2009-06-12,90,67,0,20
2009-06-13,85,69,0,20
2009-06-14,85,37,0,20
2009-06-15,110,38,0,20
2009-06-18,92,28,0,20
2009-06-19,91,36,0,20
2009-06-22,41,0,0,15
2009-06-23,69,0,0,15
2009-06-24,56,0,0,15
2009-06-25,50,28,0,20
2009-06-26,62,0,0,15
2009-06-27,109,36,0,20
2009-06-28,0,0,0,0
2009-07-03,69,26,0,20
2009-07-09,0,0,0,0
2009-07-12,55,0,0,15
2009-07-13,35,0,0,15
2009-07-14,67,0,0,15
2009-07-15,32,0,0,15
2009-07-16,72,0,0,15
2009-07-17,72,0,0,15
2009-07-18,39,0,0,15
2009-07-20,28,0,0,15
2009-07-21,0,0,0,0
2009-07-22,67,0,0,15
2009-07-23,0,0,0,0
2009-07-28,30,0,0,15
2009-07-29,47,0,0,15
2009-07-30,0,0,0,0
2009-07-31,104,0,0,15
2009-08-04,56,0,0,15
2009-08-05,36,0,0,15
2009-08-06,0,0,0,0
2009-08-07,0,0,0,0
2009-08-08,0,0,0,0
2009-08-09,76,0,0,15
2009-08-11,0,0,0,0
2009-08-12,0,0,0,0
2009-08-13,0,0,0,0
2009-08-14,0,0,0,0
2009-08-15,0,0,0,0
2009-08-16,0,0,0,0
2009-08-17,45,0,0,15
2009-08-18,73,0,0,15
2009-08-19,0,0,0,0
2009-08-20,63,0,0,15
2009-08-23,0,0,0,0
2009-08-26,0,0,0,0
2009-08-27,0,0,0,0
2009-08-28,0,0,0,0
2009-08-30,0,0,0,0
2009-08-31,39,0,0,15
2009-09-01,0,0,0,0
2009-09-02,0,0,0,0
2009-09-03,0,0,0,0
2009-09-04,37,0,0,15
