Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2013-03-15 00:00:00,-999.9,-99.9,30.22,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 06:00:00
2013-03-15 00:10:00,-999.9,-99.9,30.21,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 06:10:00
2013-03-15 00:15:00,-999.9,-99.9,30.21,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 06:15:00
2013-03-15 00:25:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 06:25:00
2013-03-15 00:30:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 06:30:00
2013-03-15 00:40:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 06:40:00
2013-03-15 00:45:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 06:45:00
2013-03-15 00:55:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 06:55:00
2013-03-15 01:00:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 07:00:00
2013-03-15 01:05:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 07:05:00
2013-03-15 01:10:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 07:10:00
2013-03-15 01:21:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 07:21:00
2013-03-15 01:30:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 07:30:00
2013-03-15 01:40:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 07:40:00
2013-03-15 01:50:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 07:50:00
2013-03-15 01:55:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 07:55:00
2013-03-15 02:05:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 08:05:00
2013-03-15 02:15:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 08:15:00
2013-03-15 02:20:00,-999.9,-99.9,30.17,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 08:20:00
