Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2013-03-14 04:35:00,-999.9,-99.9,30.17,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 10:35:00
2013-03-14 04:40:00,-999.9,-99.9,30.17,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 10:40:00
2013-03-14 04:50:00,-999.9,-99.9,30.17,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 10:50:00
2013-03-14 05:00:00,-999.9,-99.9,30.17,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 11:00:00
2013-03-14 05:05:00,-999.9,-99.9,30.17,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 11:05:00
2013-03-14 05:15:00,-999.9,-99.9,30.17,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 11:15:00
2013-03-14 05:20:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 11:20:00
2013-03-14 05:30:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 11:30:00
2013-03-14 05:35:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 11:35:00
2013-03-14 05:45:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 11:45:00
2013-03-14 05:50:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 11:50:00
2013-03-14 06:00:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 12:00:00
2013-03-14 06:05:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 12:05:00
2013-03-14 06:10:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 12:10:00
2013-03-14 06:15:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 12:15:00
2013-03-14 06:25:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 12:25:00
2013-03-14 06:35:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-14 12:35:00
2013-03-14 06:45:00,71.7,63.0,30.20,NE,36,23.0,23.0,74,0.00,,,0.00,Wunderground v.1.15,2013-03-14 12:45:00
2013-03-14 06:50:00,71.6,62.1,30.20,NNE,33,23.0,25.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 12:50:00
2013-03-14 06:55:00,71.6,61.7,30.21,NE,35,24.0,26.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 12:55:00
2013-03-14 07:00:00,71.7,62.6,30.21,NE,39,23.0,23.0,73,0.00,,,0.00,Wunderground v.1.15,2013-03-14 13:00:00
2013-03-14 07:05:00,71.8,63.1,30.21,NNE,28,22.0,23.0,74,0.00,,,0.00,Wunderground v.1.15,2013-03-14 13:05:00
2013-03-14 07:15:00,71.8,61.9,30.22,NNE,28,22.0,22.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 13:15:00
2013-03-14 07:25:00,71.9,62.4,30.22,NNE,28,22.0,26.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 13:25:00
2013-03-14 07:30:00,71.9,62.0,30.23,NE,35,22.0,22.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 13:30:00
2013-03-14 07:35:00,72.0,61.7,30.23,NE,41,22.0,22.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 13:35:00
2013-03-14 07:45:00,72.1,62.2,30.23,NNE,23,21.0,24.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 13:45:00
