Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2016-06-06 00:00:00,81.3,77.1,29.79,West,270,7.0,-999.0,87,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:00:00
2016-06-06 00:05:00,81.3,77.1,29.79,West,270,7.0,-999.0,87,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:05:00
2016-06-06 00:10:00,81.3,77.1,29.79,West,270,7.0,-999.0,87,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:10:00
2016-06-06 00:15:00,81.3,77.4,29.78,West,270,7.0,-999.0,88,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:15:00
2016-06-06 00:20:00,81.3,77.4,29.78,West,270,7.0,-999.0,88,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:20:00
2016-06-06 00:30:00,81.3,77.1,29.78,West,270,9.0,-999.0,87,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:30:00
2016-06-06 00:45:00,81.2,77.0,29.78,West,270,7.0,-999.0,87,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:45:00
2016-06-06 00:50:00,81.2,77.0,29.78,West,270,7.0,-999.0,87,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:50:00
2016-06-06 00:55:00,81.3,77.4,29.78,WSW,248,5.0,-999.0,88,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 05:55:00
2016-06-06 01:00:00,81.3,77.4,29.78,WSW,248,5.0,-999.0,88,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:00:00
2016-06-06 01:05:00,80.5,77.0,29.78,WSW,248,4.0,-999.0,89,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:05:00
2016-06-06 01:10:00,80.5,77.0,29.78,WSW,248,4.0,-999.0,89,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:10:00
2016-06-06 01:15:00,79.9,76.4,29.77,SW,225,6.0,-999.0,89,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:15:00
2016-06-06 01:20:00,79.9,76.4,29.77,SW,225,6.0,-999.0,89,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:20:00
2016-06-06 01:25:00,79.6,76.4,29.77,SSW,203,6.0,-999.0,90,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:25:00
2016-06-06 01:30:00,79.6,76.4,29.77,SSW,203,6.0,-999.0,90,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:30:00
2016-06-06 01:35:00,79.4,76.5,29.77,SW,225,7.0,-999.0,91,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:35:00
2016-06-06 01:50:00,79.3,76.4,29.76,SSW,203,6.0,-999.0,91,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:50:00
2016-06-06 01:55:00,79.1,76.2,29.76,SSW,203,6.0,-999.0,91,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 06:55:00
2016-06-06 02:00:00,79.1,76.2,29.76,SSW,203,6.0,-999.0,91,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:00:00
2016-06-06 02:05:00,79.1,76.2,29.76,SSW,203,6.0,-999.0,91,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:05:00
2016-06-06 02:10:00,79.1,76.2,29.76,SSW,203,6.0,-999.0,91,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:10:00
2016-06-06 02:15:00,79.1,76.2,29.76,SSW,203,6.0,-999.0,91,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:15:00
2016-06-06 02:20:00,79.1,76.2,29.76,SSW,203,6.0,-999.0,91,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:20:00
2016-06-06 02:35:00,78.8,76.3,29.74,SSW,203,6.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:35:00
2016-06-06 02:40:00,78.8,76.3,29.74,SSW,203,6.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:40:00
2016-06-06 02:45:00,78.8,76.3,29.74,SSW,203,6.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:45:00
2016-06-06 02:55:00,78.8,76.3,29.74,SSW,203,5.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 07:55:00
2016-06-06 03:00:00,78.8,76.3,29.74,SSW,203,5.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:00:00
2016-06-06 03:05:00,78.8,76.3,29.74,SSW,203,6.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:05:00
2016-06-06 03:10:00,78.8,76.3,29.74,SSW,203,6.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:10:00
2016-06-06 03:15:00,78.8,76.3,29.74,SSW,203,6.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:15:00
2016-06-06 03:20:00,78.8,76.3,29.74,SSW,203,6.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:20:00
2016-06-06 03:35:00,78.5,76.0,29.74,SSW,203,5.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:35:00
2016-06-06 03:40:00,78.5,76.0,29.74,SSW,203,5.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:40:00
2016-06-06 03:45:00,78.1,75.6,29.74,South,180,4.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:45:00
2016-06-06 03:50:00,78.1,75.6,29.74,South,180,4.0,-999.0,92,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:50:00
2016-06-06 03:55:00,78.0,75.8,29.74,South,180,5.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 08:55:00
2016-06-06 04:00:00,78.0,75.8,29.74,South,180,5.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:00:00
2016-06-06 04:05:00,77.9,75.7,29.74,South,180,6.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:05:00
2016-06-06 04:10:00,77.9,75.7,29.74,South,180,6.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:10:00
2016-06-06 04:15:00,78.0,75.8,29.74,SSW,203,5.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:15:00
2016-06-06 04:20:00,78.0,75.8,29.74,SSW,203,5.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:20:00
2016-06-06 04:30:00,78.1,75.9,29.73,SSW,203,4.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:30:00
2016-06-06 04:35:00,77.9,75.7,29.74,SSW,203,5.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:35:00
2016-06-06 04:40:00,77.9,75.7,29.74,SSW,203,5.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:40:00
2016-06-06 04:45:00,77.7,75.5,29.75,SSW,203,6.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:45:00
2016-06-06 04:50:00,77.7,75.5,29.75,SSW,203,6.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:50:00
2016-06-06 04:55:00,77.6,75.4,29.75,SSW,203,5.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 09:55:00
2016-06-06 05:00:00,77.6,75.4,29.75,SSW,203,5.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:00:00
2016-06-06 05:05:00,77.6,75.4,29.75,SSW,203,6.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:05:00
2016-06-06 05:10:00,77.6,75.4,29.75,SSW,203,6.0,-999.0,93,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:10:00
2016-06-06 05:20:00,77.5,75.6,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:20:00
2016-06-06 05:25:00,77.5,75.6,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:25:00
2016-06-06 05:30:00,77.5,75.6,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:30:00
2016-06-06 05:35:00,77.6,75.7,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:35:00
2016-06-06 05:40:00,77.6,75.7,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:40:00
2016-06-06 05:45:00,77.6,75.7,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:45:00
2016-06-06 05:50:00,77.6,75.7,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:50:00
2016-06-06 05:55:00,77.4,75.5,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 10:55:00
2016-06-06 06:00:00,77.4,75.5,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 11:00:00
2016-06-06 06:05:00,77.5,75.6,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 11:05:00
2016-06-06 06:10:00,77.5,75.6,29.75,SSW,203,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 11:10:00
2016-06-06 06:15:00,77.6,75.7,29.75,SW,225,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 11:15:00
2016-06-06 06:20:00,77.6,75.7,29.75,SW,225,6.0,-999.0,94,0.00,,,0.00,0,Wunderground v.1.15,2016-06-06 11:20:00
2016-06-06 06:25:00,77.6,75.7,29.75,SSW,203,7.0,-999.0,94,0.00,,,0.00,6,Wunderground v.1.15,2016-06-06 11:25:00
2016-06-06 06:30:00,77.6,75.7,29.75,SSW,203,7.0,-999.0,94,0.00,,,0.00,6,Wunderground v.1.15,2016-06-06 11:30:00
2016-06-06 06:35:00,77.5,75.6,29.76,SSW,203,8.0,-999.0,94,0.00,,,0.00,14,Wunderground v.1.15,2016-06-06 11:35:00
2016-06-06 06:45:00,77.5,75.6,29.76,SW,225,7.0,-999.0,94,0.00,,,0.00,23,Wunderground v.1.15,2016-06-06 11:45:00
2016-06-06 06:50:00,77.5,75.6,29.76,SW,225,7.0,-999.0,94,0.00,,,0.00,23,Wunderground v.1.15,2016-06-06 11:50:00
2016-06-06 06:55:00,77.5,75.6,29.76,SSW,203,7.0,-999.0,94,0.00,,,0.00,35,Wunderground v.1.15,2016-06-06 11:55:00
2016-06-06 07:00:00,77.5,75.6,29.76,SSW,203,7.0,-999.0,94,0.00,,,0.00,35,Wunderground v.1.15,2016-06-06 12:00:00
2016-06-06 07:10:00,77.5,75.6,29.77,SSW,203,7.0,-999.0,94,0.00,,,0.00,51,Wunderground v.1.15,2016-06-06 12:10:00
2016-06-06 07:15:00,77.6,75.7,29.77,SSW,203,7.0,-999.0,94,0.00,,,0.00,85,Wunderground v.1.15,2016-06-06 12:15:00
2016-06-06 07:20:00,77.6,75.7,29.77,SSW,203,7.0,-999.0,94,0.00,,,0.00,85,Wunderground v.1.15,2016-06-06 12:20:00
2016-06-06 07:25:00,77.7,75.8,29.77,SW,225,8.0,-999.0,94,0.00,,,0.00,128,Wunderground v.1.15,2016-06-06 12:25:00
2016-06-06 07:30:00,77.7,75.8,29.77,SW,225,8.0,-999.0,94,0.00,,,0.00,128,Wunderground v.1.15,2016-06-06 12:30:00
2016-06-06 07:40:00,78.1,76.2,29.78,SW,225,8.0,-999.0,94,0.00,,,0.00,179,Wunderground v.1.15,2016-06-06 12:40:00
2016-06-06 07:45:00,78.4,76.2,29.78,SW,225,7.0,-999.0,93,0.00,,,0.00,249,Wunderground v.1.15,2016-06-06 12:45:00
2016-06-06 07:50:00,78.4,76.2,29.78,SW,225,7.0,-999.0,93,0.00,,,0.00,249,Wunderground v.1.15,2016-06-06 12:50:00
2016-06-06 07:55:00,78.9,76.7,29.78,SW,225,7.0,-999.0,93,0.00,,,0.00,280,Wunderground v.1.15,2016-06-06 12:55:00
2016-06-06 08:00:00,78.9,76.7,29.78,SW,225,7.0,-999.0,93,0.00,,,0.00,280,Wunderground v.1.15,2016-06-06 13:00:00
2016-06-06 08:05:00,79.3,76.8,29.78,SW,225,8.0,-999.0,92,0.00,,,0.00,311,Wunderground v.1.15,2016-06-06 13:05:00
2016-06-06 08:10:00,79.3,76.8,29.78,SW,225,8.0,-999.0,92,0.00,,,0.00,311,Wunderground v.1.15,2016-06-06 13:10:00
2016-06-06 08:15:00,79.7,77.2,29.78,SW,225,6.0,-999.0,92,0.00,,,0.00,325,Wunderground v.1.15,2016-06-06 13:15:00
2016-06-06 08:20:00,79.7,77.2,29.78,SW,225,6.0,-999.0,92,0.00,,,0.00,325,Wunderground v.1.15,2016-06-06 13:20:00
2016-06-06 08:30:00,80.1,77.2,29.79,SW,225,6.0,-999.0,91,0.00,,,0.00,324,Wunderground v.1.15,2016-06-06 13:30:00
2016-06-06 08:35:00,80.8,77.6,29.79,SW,225,5.0,-999.0,90,0.00,,,0.00,342,Wunderground v.1.15,2016-06-06 13:35:00
2016-06-06 08:40:00,80.8,77.6,29.79,SW,225,5.0,-999.0,90,0.00,,,0.00,342,Wunderground v.1.15,2016-06-06 13:40:00
2016-06-06 08:45:00,81.3,77.7,29.79,WSW,248,6.0,-999.0,89,0.00,,,0.00,426,Wunderground v.1.15,2016-06-06 13:45:00
2016-06-06 08:50:00,81.3,77.7,29.79,WSW,248,6.0,-999.0,89,0.00,,,0.00,426,Wunderground v.1.15,2016-06-06 13:50:00
2016-06-06 08:55:00,81.6,77.7,29.79,WSW,248,6.0,-999.0,88,0.00,,,0.00,478,Wunderground v.1.15,2016-06-06 13:55:00
2016-06-06 09:05:00,81.6,77.7,29.79,West,270,8.0,-999.0,88,0.00,,,0.00,232,Wunderground v.1.15,2016-06-06 14:05:00
2016-06-06 09:10:00,81.6,77.7,29.79,West,270,8.0,-999.0,88,0.00,,,0.00,232,Wunderground v.1.15,2016-06-06 14:10:00
2016-06-06 09:15:00,82.2,77.6,29.79,West,270,10.0,-999.0,86,0.00,,,0.00,532,Wunderground v.1.15,2016-06-06 14:15:00
2016-06-06 09:20:00,82.2,77.6,29.79,West,270,10.0,-999.0,86,0.00,,,0.00,532,Wunderground v.1.15,2016-06-06 14:20:00
2016-06-06 09:25:00,82.5,77.5,29.80,West,270,9.0,-999.0,85,0.00,,,0.00,545,Wunderground v.1.15,2016-06-06 14:25:00
2016-06-06 09:30:00,82.5,77.5,29.80,West,270,9.0,-999.0,85,0.00,,,0.00,545,Wunderground v.1.15,2016-06-06 14:30:00
2016-06-06 09:35:00,82.7,77.4,29.80,West,270,11.0,-999.0,84,0.00,,,0.00,612,Wunderground v.1.15,2016-06-06 14:35:00
2016-06-06 09:40:00,82.7,77.4,29.80,West,270,11.0,-999.0,84,0.00,,,0.00,612,Wunderground v.1.15,2016-06-06 14:40:00
2016-06-06 09:45:00,82.9,77.6,29.80,WNW,293,10.0,-999.0,84,0.00,,,0.00,657,Wunderground v.1.15,2016-06-06 14:45:00
2016-06-06 09:50:00,82.9,77.6,29.80,WNW,293,10.0,-999.0,84,0.00,,,0.00,657,Wunderground v.1.15,2016-06-06 14:50:00
2016-06-06 09:55:00,83.0,77.7,29.80,West,270,10.0,-999.0,84,0.00,,,0.00,717,Wunderground v.1.15,2016-06-06 14:55:00
2016-06-06 10:00:00,83.0,77.7,29.80,West,270,10.0,-999.0,84,0.00,,,0.00,717,Wunderground v.1.15,2016-06-06 15:00:00
2016-06-06 10:05:00,83.9,78.2,29.81,WNW,293,9.0,-999.0,83,0.00,,,0.00,743,Wunderground v.1.15,2016-06-06 15:05:00
2016-06-06 10:10:00,83.9,78.2,29.81,WNW,293,9.0,-999.0,83,0.00,,,0.00,743,Wunderground v.1.15,2016-06-06 15:10:00
2016-06-06 10:15:00,83.2,76.4,29.81,West,270,11.0,-999.0,80,0.00,,,0.00,766,Wunderground v.1.15,2016-06-06 15:15:00
2016-06-06 10:20:00,83.2,76.4,29.81,West,270,11.0,-999.0,80,0.00,,,0.00,766,Wunderground v.1.15,2016-06-06 15:20:00
2016-06-06 10:25:00,84.0,77.5,29.81,West,270,11.0,-999.0,81,0.00,,,0.00,787,Wunderground v.1.15,2016-06-06 15:25:00
2016-06-06 10:30:00,84.0,77.5,29.81,West,270,11.0,-999.0,81,0.00,,,0.00,787,Wunderground v.1.15,2016-06-06 15:30:00
2016-06-06 10:35:00,83.6,77.1,29.81,West,270,11.0,-999.0,81,0.00,,,0.00,811,Wunderground v.1.15,2016-06-06 15:35:00
2016-06-06 10:40:00,83.6,77.1,29.81,West,270,11.0,-999.0,81,0.00,,,0.00,811,Wunderground v.1.15,2016-06-06 15:40:00
2016-06-06 10:45:00,83.9,77.4,29.81,West,270,10.0,-999.0,81,0.00,,,0.00,832,Wunderground v.1.15,2016-06-06 15:45:00
2016-06-06 10:50:00,83.9,77.4,29.81,West,270,10.0,-999.0,81,0.00,,,0.00,832,Wunderground v.1.15,2016-06-06 15:50:00
2016-06-06 10:55:00,83.9,77.4,29.82,West,270,11.0,-999.0,81,0.00,,,0.00,849,Wunderground v.1.15,2016-06-06 15:55:00
2016-06-06 11:00:00,83.9,77.4,29.82,West,270,11.0,-999.0,81,0.00,,,0.00,849,Wunderground v.1.15,2016-06-06 16:00:00
2016-06-06 11:05:00,83.5,77.1,29.82,West,270,11.0,-999.0,81,0.00,,,0.00,866,Wunderground v.1.15,2016-06-06 16:05:00
2016-06-06 11:10:00,83.5,77.1,29.82,West,270,11.0,-999.0,81,0.00,,,0.00,866,Wunderground v.1.15,2016-06-06 16:10:00
2016-06-06 11:15:00,84.2,77.7,29.82,West,270,12.0,-999.0,81,0.00,,,0.00,883,Wunderground v.1.15,2016-06-06 16:15:00
