Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2014-11-26 00:00:00,73.5,68.7,30.07,NNW,346,32.0,34.0,85,0.00,,,0.05,0,Wunderground v.1.15,2014-11-26 06:00:00
2014-11-26 00:05:00,73.4,67.6,30.07,North,11,31.0,34.0,82,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 06:05:00
2014-11-26 00:15:00,73.4,67.9,30.07,North,355,30.0,34.0,83,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 06:15:00
2014-11-26 00:20:00,73.4,68.6,30.07,North,355,29.0,32.0,85,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 06:20:00
2014-11-26 00:25:00,73.2,67.7,30.07,North,349,29.0,33.0,83,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 06:25:00
2014-11-26 00:35:00,73.1,66.9,30.06,North,355,29.0,32.0,81,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 06:35:00
2014-11-26 00:40:00,73.0,67.2,30.07,NNW,342,29.0,29.0,82,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 06:40:00
2014-11-26 00:50:00,73.0,66.8,30.06,North,355,28.0,32.0,81,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 06:50:00
2014-11-26 00:55:00,73.1,66.2,30.06,North,360,28.0,32.0,79,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 06:55:00
2014-11-26 01:00:00,73.1,66.2,30.07,North,355,28.0,28.0,79,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 07:00:00
2014-11-26 01:05:00,72.9,66.0,30.06,North,355,28.0,30.0,79,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 07:05:00
2014-11-26 01:15:00,73.1,66.2,30.07,NNW,348,28.0,30.0,79,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 07:15:00
2014-11-26 01:25:00,73.0,65.0,30.07,NNE,13,28.0,30.0,76,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 07:25:00
2014-11-26 01:30:00,73.3,66.0,30.06,North,5,29.0,29.0,78,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 07:30:00
2014-11-26 01:40:00,72.9,64.1,30.06,NNW,340,30.0,30.0,74,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 07:40:00
2014-11-26 01:50:00,72.8,64.4,30.06,North,355,29.0,29.0,75,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 07:50:00
2014-11-26 02:00:00,72.6,65.0,30.07,North,5,28.0,28.0,77,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:00:00
2014-11-26 02:05:00,72.7,64.7,30.07,North,355,28.0,32.0,76,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:05:00
2014-11-26 02:10:00,72.5,63.7,30.07,North,355,29.0,29.0,74,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:10:00
2014-11-26 02:20:00,72.4,65.2,30.07,NNE,14,27.0,27.0,78,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:20:00
2014-11-26 02:25:00,72.4,65.2,30.07,NNE,19,26.0,27.0,78,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:25:00
2014-11-26 02:30:00,72.5,66.3,30.08,North,11,25.0,30.0,81,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:30:00
2014-11-26 02:35:00,72.4,65.5,30.08,North,355,25.0,30.0,79,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:35:00
2014-11-26 02:40:00,72.5,65.2,30.08,North,355,27.0,29.0,78,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:40:00
2014-11-26 02:50:00,72.7,65.1,30.08,North,360,28.0,28.0,77,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:50:00
2014-11-26 02:55:00,72.7,65.8,30.08,North,5,27.0,28.0,79,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 08:55:00
2014-11-26 03:00:00,72.5,65.6,30.08,North,5,26.0,30.0,79,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 09:00:00
2014-11-26 03:10:00,72.7,64.3,30.08,North,10,26.0,33.0,75,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 09:10:00
2014-11-26 03:20:00,72.7,64.3,30.09,North,350,25.0,27.0,75,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 09:20:00
2014-11-26 03:25:00,72.7,63.9,30.10,North,360,26.0,27.0,74,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 09:25:00
2014-11-26 03:35:00,72.7,63.9,30.10,North,5,27.0,29.0,74,0.00,,,0.00,0,Wunderground v.1.15,2014-11-26 09:35:00
