Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2013-11-28 00:00:00,72.3,58.1,30.18,NNW,344,18.0,19.0,61,0.00,,,0.02,0,Wunderground v.1.15,2013-11-28 06:00:00
2013-11-28 00:05:00,72.3,59.4,30.18,NNW,341,18.0,19.0,64,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 06:05:00
2013-11-28 00:15:00,72.3,60.3,30.18,North,355,18.0,21.0,66,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 06:15:00
2013-11-28 00:20:00,72.2,60.6,30.18,NNW,348,19.0,21.0,67,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 06:20:00
2013-11-28 00:25:00,72.1,59.2,30.18,North,350,19.0,21.0,64,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 06:25:00
2013-11-28 00:35:00,71.9,60.8,30.18,North,355,18.0,19.0,68,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 06:35:00
2013-11-28 00:40:00,71.8,61.9,30.18,North,355,20.0,20.0,71,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 06:40:00
2013-11-28 00:50:00,71.7,61.4,30.18,North,355,18.0,20.0,70,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 06:50:00
2013-11-28 01:00:00,71.6,60.9,30.18,North,9,18.0,18.0,69,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 07:00:00
2013-11-28 01:05:00,71.5,59.5,30.17,North,360,18.0,18.0,66,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 07:05:00
2013-11-28 01:15:00,71.6,62.1,30.17,NNW,348,18.0,19.0,72,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 07:15:00
2013-11-28 01:25:00,71.5,60.0,30.17,North,355,17.0,18.0,67,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 07:25:00
2013-11-28 01:30:00,71.4,59.9,30.17,North,355,18.0,18.0,67,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 07:30:00
2013-11-28 01:35:00,71.4,60.3,30.17,North,360,17.0,19.0,68,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 07:35:00
2013-11-28 01:45:00,71.3,59.8,30.17,North,5,17.0,17.0,67,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 07:45:00
2013-11-28 01:50:00,71.2,60.5,30.16,North,5,17.0,19.0,69,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 07:50:00
2013-11-28 02:00:00,71.2,60.1,30.16,NNE,18,17.0,17.0,68,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 08:00:00
2013-11-28 02:05:00,71.3,61.4,30.16,North,5,17.0,19.0,71,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 08:05:00
2013-11-28 02:10:00,71.1,59.6,30.16,North,5,18.0,18.0,67,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 08:10:00
2013-11-28 02:20:00,71.2,60.1,30.16,North,5,17.0,17.0,68,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 08:20:00
2013-11-28 02:30:00,71.2,60.1,30.16,North,360,17.0,19.0,68,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 08:30:00
2013-11-28 02:40:00,71.1,59.6,30.17,NNE,18,16.0,21.0,67,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 08:40:00
2013-11-28 02:50:00,71.1,60.4,30.16,NNE,13,17.0,17.0,69,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 08:50:00
2013-11-28 03:00:00,71.0,60.7,30.16,NNE,18,18.0,21.0,70,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 09:00:00
2013-11-28 03:05:00,71.0,60.3,30.16,NNE,19,17.0,21.0,69,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 09:05:00
2013-11-28 03:10:00,71.0,60.3,30.16,North,5,17.0,20.0,69,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 09:10:00
2013-11-28 03:20:00,70.9,58.5,30.16,NNE,22,16.0,18.0,65,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 09:20:00
2013-11-28 03:25:00,71.0,59.9,30.16,NNE,30,16.0,18.0,68,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 09:25:00
2013-11-28 03:30:00,71.0,58.6,30.16,North,5,18.0,18.0,65,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 09:30:00
2013-11-28 03:40:00,71.0,59.5,30.16,North,5,16.0,16.0,67,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 09:40:00
2013-11-28 03:50:00,71.0,59.1,30.17,NNE,19,17.0,19.0,66,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 09:50:00
2013-11-28 04:00:00,71.0,59.9,30.16,NNE,23,17.0,18.0,68,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:00:00
2013-11-28 04:05:00,71.0,59.1,30.17,North,11,17.0,21.0,66,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:05:00
2013-11-28 04:10:00,71.0,59.5,30.17,NNE,19,17.0,17.0,67,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:10:00
2013-11-28 04:20:00,71.1,60.4,30.17,North,11,17.0,17.0,69,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:20:00
2013-11-28 04:25:00,71.1,58.7,30.16,North,5,17.0,17.0,65,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:25:00
2013-11-28 04:35:00,71.1,57.9,30.17,NNE,19,18.0,18.0,63,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:35:00
2013-11-28 04:40:00,71.2,58.8,30.17,NNE,13,18.0,18.0,65,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:40:00
2013-11-28 04:45:00,71.2,58.0,30.17,NNE,17,17.0,18.0,63,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:45:00
2013-11-28 04:55:00,71.3,59.4,30.17,North,5,18.0,22.0,66,0.00,,,0.00,0,Wunderground v.1.15,2013-11-28 10:55:00
