Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2013-11-12 00:05:00,78.8,76.9,29.99,ENE,67,3.0,4.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 06:05:00
2013-11-12 00:15:00,78.7,76.8,29.98,ESE,112,2.0,3.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 06:15:00
2013-11-12 00:20:00,78.5,76.6,29.98,East,87,3.0,4.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 06:20:00
2013-11-12 00:30:00,78.3,76.4,29.98,East,98,3.0,3.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 06:30:00
2013-11-12 00:35:00,78.2,76.3,29.98,East,98,3.0,4.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 06:35:00
2013-11-12 00:45:00,78.0,76.1,29.98,ESE,103,3.0,3.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 06:45:00
2013-11-12 00:50:00,78.0,76.1,29.97,East,86,3.0,4.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 06:50:00
2013-11-12 01:00:00,78.2,76.3,29.97,East,98,4.0,5.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:00:00
2013-11-12 01:05:00,78.2,76.0,29.97,East,99,4.0,5.0,93,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:05:00
2013-11-12 01:15:00,78.0,75.8,29.97,ESE,108,5.0,5.0,93,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:15:00
2013-11-12 01:20:00,77.7,75.5,29.97,East,88,4.0,4.0,93,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:20:00
2013-11-12 01:30:00,77.6,75.7,29.96,East,82,4.0,4.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:30:00
2013-11-12 01:35:00,77.6,75.7,29.96,ESE,105,4.0,4.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:35:00
2013-11-12 01:40:00,77.6,75.7,29.96,ESE,105,4.0,4.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:40:00
2013-11-12 01:50:00,77.3,75.4,29.96,East,85,4.0,4.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:50:00
2013-11-12 01:55:00,77.1,75.2,29.95,East,80,4.0,6.0,94,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 07:55:00
2013-11-12 02:00:00,77.2,75.7,29.95,East,97,4.0,4.0,95,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 08:00:00
2013-11-12 02:05:00,77.2,75.7,29.95,ESE,104,5.0,6.0,95,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 08:05:00
2013-11-12 02:15:00,77.0,75.5,29.95,East,101,4.0,5.0,95,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 08:15:00
2013-11-12 02:20:00,76.9,75.4,29.95,ENE,77,4.0,4.0,95,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 08:20:00
2013-11-12 02:30:00,76.6,75.1,29.95,East,99,4.0,4.0,95,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 08:30:00
2013-11-12 02:40:00,76.5,75.3,29.95,East,90,5.0,9.0,96,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 08:40:00
2013-11-12 02:50:00,76.4,75.2,29.95,ESE,103,5.0,6.0,96,0.00,,,0.00,0,Wunderground v.1.15,2013-11-12 08:50:00
