Date,Total15,Total20,Total25,pseudoWindSpeedMPH
2012-10-09,35,0,0,15
2012-10-10,0,0,0,0
2012-10-11,73,40,0,20
2012-10-12,108,33,0,20
2012-10-13,78,0,0,15
2012-10-14,0,0,0,0
2012-10-15,0,0,0,0
2012-10-16,0,0,0,0
2012-10-17,0,0,0,0
2012-10-18,0,0,0,0
2012-10-19,0,0,0,0
2012-10-20,41,0,0,15
2012-10-21,95,41,0,20
2012-10-22,69,0,0,15
2012-10-23,70,0,0,15
2012-10-24,37,0,0,15
2012-10-25,0,0,0,0
2012-10-26,0,0,0,0
2012-10-27,0,0,0,0
2012-10-28,66,0,0,15
2012-10-29,62,0,0,15
2012-10-30,0,0,0,0
2012-10-31,0,0,0,0
2012-11-01,33,0,0,15
2012-11-02,0,0,0,0
2012-11-03,0,0,0,0
2012-11-04,0,0,0,0
2012-11-05,0,0,0,0
2012-11-06,0,0,0,0
2012-11-07,50,0,0,15
2012-11-08,0,0,0,0
2012-11-09,63,0,0,15
2012-11-10,85,43,0,20
2012-11-11,59,0,0,15
2012-11-12,0,0,0,0
2012-11-13,0,0,0,0
2012-11-19,0,0,0,0
2012-11-20,31,0,0,15
2012-11-21,0,0,0,0
2012-11-22,37,0,0,15
2012-11-23,0,0,0,0
2012-11-24,0,0,0,0
2012-11-25,0,0,0,0
2012-11-26,0,0,0,0
2012-11-27,0,0,0,0
2012-11-28,0,0,0,0
2012-11-30,0,0,0,0
2012-12-01,0,0,0,0
2012-12-02,58,30,0,20
2012-12-03,62,0,0,15
2012-12-04,55,0,0,15
2012-12-05,0,0,0,0
2012-12-06,0,0,0,0
2012-12-07,0,0,0,0
2012-12-14,0,0,0,0
2012-12-15,0,0,0,0
2012-12-16,0,0,0,0
2012-12-17,42,0,0,15
2012-12-18,0,0,0,0
2012-12-19,0,0,0,0
2012-12-20,0,0,0,0
2012-12-21,130,130,54,25
2012-12-22,130,0,0,15
2012-12-23,41,0,0,15
2012-12-24,31,0,0,15
2012-12-25,0,0,0,0
2012-12-26,44,29,0,20
2012-12-27,0,0,0,0
2012-12-28,0,0,0,0
2012-12-29,45,32,26,25
2012-12-30,131,0,0,15
2012-12-31,80,0,0,15
2013-01-01,0,0,0,0
2013-01-02,0,0,0,0
2013-01-03,0,0,0,0
2013-01-04,43,0,0,15
2013-01-05,37,0,0,15
2013-01-06,0,0,0,0
2013-01-07,31,0,0,15
2013-01-08,50,0,0,15
2013-01-09,0,0,0,0
2013-01-10,0,0,0,0
2013-01-11,55,0,0,15
2013-01-12,0,0,0,0
2013-01-13,0,0,0,0
2013-01-14,36,0,0,15
2013-01-15,29,0,0,15
2013-01-16,0,0,0,0
2013-01-17,132,132,77,25
2013-01-18,49,27,0,20
2013-01-19,0,0,0,0
2013-01-20,0,0,0,0
2013-01-21,0,0,0,0
2013-01-22,0,0,0,0
2013-01-23,25,0,0,15
2013-01-24,96,0,0,15
2013-01-25,0,0,0,0
2013-01-26,54,0,0,15
2013-01-27,95,0,0,15
2013-01-28,0,0,0,0
2013-01-29,0,0,0,0
2013-01-30,0,0,0,0
2013-01-31,135,37,0,20
2013-02-01,135,0,0,15
2013-02-02,26,0,0,15
2013-02-03,80,61,0,20
2013-02-04,37,0,0,15
2013-02-05,32,0,0,15
2013-02-06,0,0,0,0
2013-02-07,42,0,0,15
2013-02-08,0,0,0,0
2013-02-09,0,0,0,0
2013-02-10,29,0,0,15
2013-02-11,0,0,0,0
2013-02-12,38,0,0,15
2013-02-13,51,0,0,15
2013-02-14,0,0,0,0
2013-02-15,76,0,0,15
2013-02-16,138,138,95,25
2013-02-17,0,0,0,0
2013-02-18,24,0,0,15
2013-02-19,45,0,0,15
2013-02-20,60,0,0,15
2013-02-21,0,0,0,0
2013-02-22,59,28,0,20
2013-02-23,0,0,0,0
2013-02-24,32,0,0,15
2013-02-25,61,0,0,15
2013-02-26,91,46,0,20
2013-02-27,55,0,0,15
2013-02-28,141,55,0,20
2013-03-01,141,141,40,25
2013-03-02,128,27,0,20
2013-03-03,86,0,0,15
2013-03-04,0,0,0,0
2013-03-07,71,0,0,15
2013-03-08,86,0,0,15
2013-03-09,68,0,0,15
2013-03-10,0,0,0,0
2013-03-11,0,0,0,0
2013-03-12,90,0,0,15
2013-03-13,144,59,0,20
2013-03-14,132,0,0,15
2013-03-15,112,0,0,15
2013-03-16,79,0,0,15
2013-03-17,0,0,0,0
2013-03-18,26,0,0,15
2013-03-19,0,0,0,0
2013-03-20,29,26,0,20
2013-03-21,55,0,0,15
2013-03-22,0,0,0,0
2013-03-23,50,0,0,15
2013-03-24,0,0,0,0
2013-03-25,146,122,0,20
2013-03-26,146,136,0,20
2013-03-27,147,0,0,15
2013-03-28,85,0,0,15
2013-03-29,92,0,0,15
2013-03-30,91,0,0,15
2013-03-31,64,0,0,15
2013-04-01,35,0,0,15
2013-04-02,42,0,0,15
2013-04-03,66,0,0,15
2013-04-04,32,0,0,15
2013-04-05,144,47,0,20
2013-04-06,55,0,0,15
2013-04-07,94,54,0,20
2013-04-08,48,0,0,15
2013-04-09,104,0,0,15
2013-04-10,50,0,0,15
2013-04-11,30,0,0,15
2013-04-12,0,0,0,0
2013-04-13,0,0,0,0
2013-04-14,28,0,0,15
2013-04-15,0,0,0,0
2013-04-16,34,0,0,15
2013-04-17,57,0,0,15
2013-04-18,30,0,0,15
2013-04-19,62,0,0,15
2013-04-20,82,0,0,15
2013-04-22,52,0,0,15
2013-04-23,87,32,0,20
2013-04-24,76,56,0,20
2013-04-25,95,89,26,25
2013-04-26,101,79,0,20
2013-04-27,96,64,0,20
2013-04-28,88,47,0,20
2013-05-01,67,0,0,15
2013-05-02,90,0,0,15
2013-05-03,107,74,0,20
2013-05-04,40,0,0,15
2013-05-05,65,0,0,15
2013-05-06,41,0,0,15
2013-05-07,79,0,0,15
2013-05-08,79,0,0,15
2013-05-09,82,33,0,20
2013-05-10,0,0,0,0
2013-05-11,60,0,0,15
2013-05-12,58,0,0,15
2013-05-13,99,70,0,20
2013-05-14,158,80,0,20
2013-05-15,96,57,0,20
2013-05-16,90,0,0,15
2013-05-17,83,50,0,20
2013-05-18,100,67,0,20
2013-05-19,74,48,0,20
2013-05-20,69,55,0,20
2013-05-21,72,26,0,20
2013-05-22,84,51,0,20
2013-05-23,87,53,0,20
2013-05-24,68,53,0,20
2013-05-25,116,87,34,25
2013-05-26,100,86,0,20
2013-05-27,90,40,0,20
2013-05-28,0,0,0,0
2013-05-29,0,0,0,0
2013-05-30,32,0,0,15
2013-06-01,49,0,0,15
2013-06-02,0,0,0,0
2013-06-03,0,0,0,0
2013-06-04,0,0,0,0
2013-06-05,0,0,0,0
2013-06-06,0,0,0,0
2013-06-07,0,0,0,0
2013-06-08,0,0,0,0
2013-06-09,47,0,0,15
2013-06-10,71,0,0,15
2013-06-11,70,0,0,15
2013-06-12,54,0,0,15
2013-06-13,91,0,0,15
2013-06-14,54,0,0,15
2013-06-15,74,0,0,15
2013-06-16,66,0,0,15
2013-06-17,54,0,0,15
2013-06-18,0,0,0,0
2013-06-19,53,0,0,15
2013-06-20,90,0,0,15
2013-06-21,94,0,0,15
2013-06-22,24,0,0,15
2013-06-23,0,0,0,0
2013-06-24,88,0,0,15
2013-06-25,66,0,0,15
2013-06-26,57,0,0,15
2013-06-27,0,0,0,0
2013-06-28,0,0,0,0
2013-06-29,0,0,0,0
2013-06-30,0,0,0,0
2013-07-01,0,0,0,0
2013-07-02,0,0,0,0
2013-07-03,0,0,0,0
2013-07-04,0,0,0,0
2013-07-05,0,0,0,0
2013-07-06,0,0,0,0
2013-07-07,0,0,0,0
2013-07-08,76,0,0,15
2013-07-09,78,0,0,15
2013-07-10,42,0,0,15
2013-07-11,0,0,0,0
2013-07-12,0,0,0,0
2013-07-13,0,0,0,0
2013-07-14,0,0,0,0
2013-07-15,0,0,0,0
2013-07-16,82,0,0,15
2013-07-17,0,0,0,0
2013-07-18,0,0,0,0
2013-07-19,0,0,0,0
2013-07-20,34,0,0,15
2013-07-21,0,0,0,0
2013-07-22,72,0,0,15
2013-07-23,82,0,0,15
2013-07-24,52,0,0,15
2013-07-25,54,0,0,15
2013-07-26,59,0,0,15
2013-07-27,0,0,0,0
2013-07-28,81,0,0,15
2013-07-29,69,0,0,15
2013-07-30,78,0,0,15
2013-08-05,80,0,0,15
2013-08-06,42,0,0,15
2013-08-07,0,0,0,0
2013-08-08,0,0,0,0
2013-08-09,0,0,0,0
2013-08-10,0,0,0,0
2013-08-11,35,0,0,15
2013-08-12,80,0,0,15
2013-08-13,0,0,0,0
2013-08-14,47,0,0,15
2013-08-15,80,0,0,15
2013-08-16,0,0,0,0
2013-08-17,0,0,0,0
2013-08-18,27,0,0,15
2013-08-19,0,0,0,0
2013-08-20,0,0,0,0
2013-08-21,0,0,0,0
2013-08-22,34,0,0,15
2013-08-23,0,0,0,0
2013-08-24,0,0,0,0
2013-08-26,64,0,0,15
2013-08-27,43,0,0,15
2013-08-28,47,0,0,15
2013-08-29,37,0,0,15
2013-08-30,45,0,0,15
2013-08-31,34,0,0,15
2013-09-01,35,0,0,15
2013-09-02,30,0,0,15
2013-09-05,33,0,0,15
2013-09-06,0,0,0,0
2013-09-07,0,0,0,0
2013-09-08,28,0,0,15
2013-09-09,30,0,0,15
2013-09-10,0,0,0,0
2013-09-11,0,0,0,0
2013-09-12,0,0,0,0
2013-09-13,0,0,0,0
2013-09-14,0,0,0,0
2013-09-15,0,0,0,0
2013-09-16,0,0,0,0
2013-09-17,94,0,0,15
2013-09-18,0,0,0,0
2013-09-19,0,0,0,0
2013-09-20,0,0,0,0
2013-09-21,0,0,0,0
2013-09-22,0,0,0,0
2013-09-23,0,0,0,0
2013-09-24,0,0,0,0
2013-09-25,0,0,0,0
2013-09-26,0,0,0,0
2013-09-27,0,0,0,0
2013-09-28,0,0,0,0
2013-09-29,29,0,0,15
2013-09-30,0,0,0,0
2013-10-01,45,0,0,15
2013-10-02,0,0,0,0
2013-10-03,0,0,0,0
2013-10-04,0,0,0,0
2013-10-05,0,0,0,0
2013-10-06,0,0,0,0
2013-10-07,0,0,0,0
2013-10-08,31,0,0,15
2013-10-09,44,0,0,15
2013-10-10,27,0,0,15
2013-10-11,46,0,0,15
2013-10-12,50,0,0,15
2013-10-13,51,0,0,15
2013-10-14,0,0,0,0
2013-10-15,0,0,0,0
2013-10-16,0,0,0,0
2013-10-17,0,0,0,0
2013-10-18,0,0,0,0
2013-10-19,0,0,0,0
2013-10-20,0,0,0,0
2013-10-21,0,0,0,0
2013-10-22,0,0,0,0
2013-10-23,0,0,0,0
2013-10-24,100,0,0,15
2013-10-25,76,0,0,15
2013-10-26,97,0,0,15
2013-10-27,34,0,0,15
2013-10-28,40,0,0,15
2013-10-29,35,0,0,15
2013-10-30,56,0,0,15
2013-10-31,0,0,0,0
2013-11-01,0,0,0,0
2013-11-02,45,44,0,20
2013-11-03,136,0,0,15
2013-11-04,61,0,0,15
2013-11-05,0,0,0,0
2013-11-06,0,0,0,0
2013-11-07,24,0,0,15
2013-11-08,135,0,0,15
2013-11-09,44,0,0,15
2013-11-10,40,0,0,15
2013-11-11,0,0,0,0
2013-11-12,0,0,0,0
2013-11-13,134,134,96,25
2013-11-14,0,0,0,0
2013-11-15,0,0,0,0
2013-11-16,0,0,0,0
2013-11-17,0,0,0,0
2013-11-18,0,0,0,0
2013-11-19,0,0,0,0
2013-11-20,0,0,0,0
2013-11-21,40,0,0,15
2013-11-22,50,0,0,15
2013-11-23,0,0,0,0
2013-11-24,0,0,0,0
2013-11-25,0,0,0,0
2013-11-26,37,0,0,15
2013-11-27,128,66,24,25
2013-11-28,33,0,0,15
2013-11-29,131,0,0,15
2013-11-30,58,0,0,15
2013-12-01,0,0,0,0
2013-12-02,0,0,0,0
2013-12-03,0,0,0,0
2013-12-04,0,0,0,0
2013-12-05,0,0,0,0
2013-12-06,0,0,0,0
2013-12-07,0,0,0,0
2013-12-08,0,0,0,0
2013-12-09,0,0,0,0
2013-12-10,0,0,0,0
2013-12-11,117,0,0,15
2013-12-12,130,130,0,20
2013-12-13,40,0,0,15
2013-12-14,0,0,0,0
2013-12-15,45,41,0,20
2013-12-16,130,0,0,15
2013-12-17,130,0,0,15
2013-12-18,55,0,0,15
2013-12-19,0,0,0,0
2013-12-20,0,0,0,0
2013-12-21,62,0,0,15
2013-12-22,36,0,0,15
2013-12-23,0,0,0,0
2013-12-24,130,130,0,20
2013-12-25,31,0,0,15
2013-12-26,96,0,0,15
2013-12-27,0,0,0,0
2013-12-28,0,0,0,0
2013-12-29,0,0,0,0
2013-12-30,0,0,0,0
2013-12-31,51,0,0,15
2014-01-01,0,0,0,0
2014-01-02,0,0,0,0
2014-01-03,130,130,24,25
2014-01-04,0,0,0,0
2014-01-05,0,0,0,0
2014-01-06,118,65,54,25
2014-01-07,131,129,0,20
2014-01-08,131,0,0,15
2014-01-09,0,0,0,0
2014-01-10,0,0,0,0
2014-01-11,0,0,0,0
2014-01-12,0,0,0,0
2014-01-13,0,0,0,0
2014-01-16,0,0,0,0
2014-01-17,0,0,0,0
2014-01-18,0,0,0,0
2014-01-19,0,0,0,0
2014-01-20,0,0,0,0
2014-01-21,0,0,0,0
2014-01-22,72,0,0,15
2014-01-23,28,0,0,15
2014-01-24,59,0,0,15
2014-01-25,0,0,0,0
2014-01-26,0,0,0,0
2014-01-27,0,0,0,0
2014-01-28,0,0,0,0
2014-01-29,0,0,0,0
2014-01-30,56,29,0,20
2014-01-31,0,0,0,0
2014-02-01,0,0,0,0
2014-02-02,24,0,0,15
2014-02-03,0,0,0,0
2014-02-04,0,0,0,0
2014-02-05,0,0,0,0
2014-02-06,0,0,0,0
2014-02-07,0,0,0,0
2014-02-08,0,0,0,0
2014-02-09,0,0,0,0
2014-02-10,32,0,0,15
2014-02-11,25,0,0,15
2014-02-12,0,0,0,0
2014-02-13,60,0,0,15
2014-02-14,0,0,0,0
2014-02-15,0,0,0,0
2014-02-16,0,0,0,0
2014-02-17,57,0,0,15
2014-02-18,50,0,0,15
2014-02-19,39,0,0,15
2014-02-20,29,0,0,15
2014-02-21,32,0,0,15
2014-02-22,0,0,0,0
2014-02-23,0,0,0,0
