Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-06-29 13:23:00,79.3,76.8,30.03,NE,47,13.0,13.0,92,0.00,,,0.00,963,Wunderground v.1.15,2015-06-29 18:23:00
2015-06-29 13:28:00,79.3,76.8,30.03,ENE,57,14.0,14.0,92,0.00,,,0.00,1016,Wunderground v.1.15,2015-06-29 18:28:00
2015-06-29 13:38:00,79.2,76.7,30.02,NNE,29,14.0,14.0,92,0.00,,,0.00,1028,Wunderground v.1.15,2015-06-29 18:38:00
2015-06-29 13:48:00,79.7,77.2,30.02,NE,56,14.0,14.0,92,0.00,,,0.00,1044,Wunderground v.1.15,2015-06-29 18:48:00
2015-06-29 13:58:00,79.6,77.1,30.01,NE,54,15.0,15.0,92,0.00,,,0.00,874,Wunderground v.1.15,2015-06-29 18:58:00
2015-06-29 14:03:00,79.6,77.1,30.01,ENE,65,15.0,15.0,92,0.00,,,0.00,745,Wunderground v.1.15,2015-06-29 19:03:00
2015-06-29 14:08:00,79.4,76.9,30.01,NE,54,15.0,17.0,92,0.00,,,0.00,320,Wunderground v.1.15,2015-06-29 19:08:00
2015-06-29 14:18:00,78.9,76.7,30.01,ENE,63,16.0,16.0,93,0.00,,,0.00,287,Wunderground v.1.15,2015-06-29 19:18:00
2015-06-29 14:23:00,79.0,76.8,30.01,NE,56,15.0,17.0,93,0.00,,,0.00,274,Wunderground v.1.15,2015-06-29 19:23:00
2015-06-29 14:33:00,79.1,76.9,30.00,ENE,58,15.0,18.0,93,0.00,,,0.00,343,Wunderground v.1.15,2015-06-29 19:33:00
2015-06-29 14:38:00,79.5,77.3,30.00,ENE,61,15.0,17.0,93,0.00,,,0.00,1055,Wunderground v.1.15,2015-06-29 19:38:00
2015-06-29 14:43:00,79.8,77.6,30.00,ENE,67,14.0,17.0,93,0.00,,,0.00,988,Wunderground v.1.15,2015-06-29 19:43:00
2015-06-29 14:48:00,79.9,77.7,30.00,ENE,65,14.0,16.0,93,0.00,,,0.00,970,Wunderground v.1.15,2015-06-29 19:48:00
2015-06-29 14:53:00,80.1,77.9,30.00,East,86,14.0,20.0,93,0.00,,,0.00,930,Wunderground v.1.15,2015-06-29 19:53:00
2015-06-29 14:58:00,80.3,77.8,30.00,East,88,15.0,15.0,92,0.00,,,0.00,914,Wunderground v.1.15,2015-06-29 19:58:00
2015-06-29 15:08:00,80.6,78.1,29.99,ENE,69,14.0,16.0,92,0.00,,,0.00,946,Wunderground v.1.15,2015-06-29 20:08:00
2015-06-29 15:13:00,80.5,78.0,29.99,ENE,74,14.0,17.0,92,0.00,,,0.00,886,Wunderground v.1.15,2015-06-29 20:13:00
2015-06-29 15:23:00,80.8,78.3,29.99,East,80,14.0,17.0,92,0.00,,,0.00,902,Wunderground v.1.15,2015-06-29 20:23:00
2015-06-29 15:28:00,80.8,77.9,29.98,East,80,14.0,18.0,91,0.00,,,0.00,879,Wunderground v.1.15,2015-06-29 20:28:00
